occupation_title,task,rating
"Property, Real Estate, and Community Association Managers",Coordinate maintenance and repair activities with contractors and service providers,3
"Property, Real Estate, and Community Association Managers",Prepare and manage budgets for properties and associations,4
"Property, Real Estate, and Community Association Managers",Collect rent or assessment payments from tenants or homeowners,4
"Property, Real Estate, and Community Association Managers",Develop and enforce community rules and regulations,2
"Property, Real Estate, and Community Association Managers",Market available properties to potential tenants or buyers,3
"Property, Real Estate, and Community Association Managers",Conduct property inspections to assess maintenance needs and compliance with regulations,3
"Property, Real Estate, and Community Association Managers",Address tenant or owner concerns and resolve disputes,2
"Property, Real Estate, and Community Association Managers",Assist with the preparation of lease agreements and contracts,3
"Property, Real Estate, and Community Association Managers",Organize and lead meetings with property owners or association members,2
"Property, Real Estate, and Community Association Managers",Maintain accurate records of property transactions and financial activities,4
"Property, Real Estate, and Community Association Managers","Liaise with external stakeholders, such as local government and regulatory agencies",2
"Property, Real Estate, and Community Association Managers",Handle billing and accounting for property operations,3
"Property, Real Estate, and Community Association Managers",Implement and monitor property improvement projects,3
"Property, Real Estate, and Community Association Managers",Stay informed about market trends and local real estate conditions,2
"Property, Real Estate, and Community Association Managers",Guide property owners on financial and legal compliance matters,3
Social and Community Service Managers,Develop and implement community service programs and initiatives,3
Social and Community Service Managers,Assess community needs and resources to determine service requirements,3
Social and Community Service Managers,"Recruit, train, and supervise staff and volunteers",2
Social and Community Service Managers,Conduct outreach to promote programs and services,3
Social and Community Service Managers,Manage budgets and allocate resources effectively,4
Social and Community Service Managers,Evaluate the effectiveness of programs and make improvements as needed,3
